system   D            wsystem.c:583  maybe_parent_dir                 [   0.00037] Also searching C:\Users\Albi\Desktop\LUA_Attack\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00061] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00062] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00762] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.11419] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.11422] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.11461] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.11462] al_display=030BBC40
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.11462] al_display->vt=030D0B40
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.11835] found 160 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.11837] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11838] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11839] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11839] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11840] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11841] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11841] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11842] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11842] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11843] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11844] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11844] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11845] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11846] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11846] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11847] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11847] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11848] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11848] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11849] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11850] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11850] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11851] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11855] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11856] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11856] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11857] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11857] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11858] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11859] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11860] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11861] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11861] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11862] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11862] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11863] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11864] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11864] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11865] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11865] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11866] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
